                          WWIVNET Official SUBS.LST
                     Dated: 06/13/2014  Ping: 06/18/2014  
                            Compiled by Eli #1 @1

 ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ¶ Flags ÇÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
 A -  ASK..contact the host, certain restrictions may apply.
 R -  Means that the sub is Auto-Requestable ( > NET29.EXE).
 N -  Means the sub is set by the host for NETWORK VALIDATION
 G -  Means the sub is GATED from/to another network.
 T -  Means this sub does NOT allow TAGLINES


Subtype    Host      Description
ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
1           1 R     WWIVNET Sysop Area
GENCHAT     1 R     WWIVNET General Chat
PARA        1 R     Paranormal Paradox
WWIVDEV     1 R     WWIV Development
WWIVNET     1 R     WWIV Networking
ANSIART     1 AR    Ansi Art
FIRESQ      1 R     The Firing Squad
BASIC       1 R     Eli's Basic Programing Sub
MODNET    177 R     WWIV Mods
NETXTST   177 R     NetX Test Sub
NETXDEV   177 R     NetX Development Sub
NETXREL   177 R     NetX Release Sub
COOKING   177 R     Cooking 
CQCQHAM   206 R     CQ CQ CQ Ham Radio
GEOGEN    707 R     Geocaching General
GEOPUZ    707 R     Puzzle Caching
GEOEXT    707 R     Extreme Geocaching
GEOOUCH   707 R     Lesson Learned~11
WWSET     707 R     General setup q&a for WWIV v5.0~3
NETTEST   707 R     Test SUB for testing your net posts.
WDOOR     707 R     WWIV Door game and utility support
ALTWWIV   707 R     USENET alt.bbs.wwiv
10001     707 R     USENET alt.bbs.doors
10013     707 R     UseNet BBS Ads. Get the word out!
10002     707 R     USENET comp.sys.cbm
10003     707 R     USENET rec.games.video.arcade.collecting
10004     707 R     USENET alt.rec.geocaching
10005     707 R     USENET alt.2600.cracks
10006     707 R     USENET rec.radio.swap
10007     707 R     USENET alt.nature.mushrooms
10008     707 R     USENET rec.ham-radio.swap
10009     707 R     USENET alt.homebrewing
10010     707 R     USENET microsoft.public.cert.itpro.mcitp

LINWWIV    60 R     Linux on WWIVnet
W4LINUX    60 R     WWIV BBS on Linux
MUSIC     815 GR    MUSIC
WEIRDN    815 R     Weird News Stories
WWIVFTN   815 GR    WWIV BBS [FTN]
YELLOW    815 R     Yellow Pages for Subs
POLI      815 R     Political discussions hosted here.
TECH      815 R     Electronics, computers, phones and more.
