                          WWIVNET Official SUBS.LST

 ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ¶ Flags ÇÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
 A -  ASK..contact the host, certain restrictions may apply.
 R -  Means that the sub is Auto-Requestable ( > NET29.EXE).
 N -  Means the sub is set by the host for NETWORK VALIDATION
 G -  Means the sub is GATED from/to another network.
 T -  Means this sub does NOT allow TAGLINES


Subtype    Host      Description
ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
WWIVSYS     1 R     WWIVNET Sysop Area
GENCHAT     1 R     WWIVNET General Chat
WWIVDEV     1 R     WWIV Development
WWIVNET     1 R     WWIV Networking
ANSIART     1 R     Ansi Art Gallery
CARS        1 R     Automotive
WEATHER     1 R     National Weather Network
MODNET    177 R     WWIV Mods
NETXTST   177 R     NetX Test Sub
NETXDEV   177 R     NetX Development Sub
NETXREL   177 R     NetX Release Sub
COOKING   177 R     Cooking 
CQCQHAM   206 R     CQ CQ CQ Ham Radio
GEOGEN    707 R     Geocaching General
GEOPUZ    707 R     Puzzle Caching
GEOEXT    707 R     Extreme Geocaching
GEOOUCH   707 R     Lesson Learned
WWSET     707 R     General setup q&a for WWIV v5.0
NETTEST   707 R     Test SUB for testing your net posts
WDOOR     707 R     WWIV Door game and utility support
ABBSW     707 GR    USENET alt.bbs.wwiv WWIV BBS Chat
ABBSD     707 GR    USENET alt.bbs.doors BBS Door chat
ABBSA     707 GR    USENET alt.bbs.ads BBS Advertisements
CSCBM     707 GR    USENET comp.sys.cbm Commodore discussions
UNANM     707 GR    USENET alt.nature.mushrooms Foraging for wild mushrooms
UNAHB     707 GR    USENET alt.homebrewing Beer brewing topics
LINWWIV    60 R     Linux on WWIVnet
W4LINUX    60 R     WWIV BBS on Linux
MUSIC     815 GR    MUSIC
WEIRDN    815 R     Weird News Stories
WWIVFTN   815 GR    WWIV BBS [FTN]
YELLOW    815 R     Yellow Pages for Subs
POLI      815 R     Political discussions hosted here
TECH      815 R     Electronics, computers, phones and more
